SourceFile,GPSLongitude,GPSLatitude
DSC_1843.JPG,140.545960183228,41.9453752
DSC_1844.JPG,140.546097616675,41.9458090666667
DSC_1845.JPG,140.546095066689,41.945808416675
DSC_1846.JPG,140.546075749989,41.9458048
DSC_1847.JPG,140.546075749989,41.9458048
DSC_1848.JPG,140.546075749989,41.9458048
DSC_1849.JPG,140.545980750011,41.9458480666944
DSC_1850.JPG,140.545984233319,41.9458476833361
DSC_1851.JPG,140.545989316667,41.9458470332583
DSC_1852.JPG,140.545334116656,41.9460238167333
DSC_1853.JPG,140.545334116656,41.9460238167333
DSC_1854.JPG,140.545402483408,41.9467265666139
DSC_1855.JPG,140.545402966742,41.9467248000833
DSC_1856.JPG,140.545403183372,41.9467240499861
DSC_1857.JPG,140.545403333333,41.9467371166694
DSC_1858.JPG,140.545404933419,41.9467460333333
DSC_1859.JPG,140.545411400025,41.94674215
DSC_1860.JPG,140.545415699922,41.9466783165861
DSC_1861.JPG,140.545415399994,41.9466781332417
DSC_1862.JPG,140.545413649967,41.9466771000028
DSC_1863.JPG,140.545413349917,41.9466769167694
DSC_1864.JPG,140.545412899986,41.9466766499917
DSC_1865.JPG,140.545418066756,41.9467308333333
DSC_1866.JPG,140.545398366761,41.9467264833361
DSC_1867.JPG,140.545450083328,41.9467534666528
DSC_1868.JPG,140.545449866739,41.9467682666667
DSC_1869.JPG,140.545449083389,41.9467715665972
DSC_1870.JPG,140.545446766703,41.9467814668
DSC_1871.JPG,140.545448466722,41.9467811665639
DSC_1872.JPG,140.545534649942,41.946805950125
DSC_1873.JPG,140.545574683328,41.9472098166139
DSC_1874.JPG,140.545839466719,41.9475433832722
DSC_1875.JPG,140.547016,41.9479694167861
DSC_1876.JPG,140.547040750022,41.9479831834361
DSC_1877.JPG,140.546928883314,41.9480096165639
DSC_1878.JPG,140.545188366683,41.9466813167861
