name,elevation,comment,description,source,url,url name,xcoord,ycoord
504,225.62389,2018-04-28 10:22:35,,,,,462354.72717,4643833.23957
505,266.42307,2018-04-28 10:43:16,,,,,462263.66095,4643651.74238
506,262.17087,2018-04-28 12:08:02,,,,,462265.48910,4643605.76572
507,241.94893,2018-04-28 14:02:44,,,,,462228.45062,4643592.97186
